tract,state_abbr,year,hpi
4007000400,AZ,2000,150.55
4007000500,AZ,2000,156.76
4007001100,AZ,2000,124.20
4007001200,AZ,2000,129.20
4009961202,AZ,2000,107.77
4009961400,AZ,2000,129.49
4012940200,AZ,2000,139.56
4013010102,AZ,2000,
4013010103,AZ,2000,115.84
4013010104,AZ,2000,129.68
4013030401,AZ,2000,160.36
4013030402,AZ,2000,192.79
4013040502,AZ,2000,149.44
4013040506,AZ,2000,198.05
4013040507,AZ,2000,196.66
4013040512,AZ,2000,124.59
4013040513,AZ,2000,130.42
4013040514,AZ,2000,132.13
4013040515,AZ,2000,119.40
4013040522,AZ,2000,128.78
4013040523,AZ,2000,
4013040528,AZ,2000,115.88
4013040529,AZ,2000,112.39
4013040530,AZ,2000,121.94
4013040531,AZ,2000,127.17
4013040539,AZ,2000,116.64
4013050613,AZ,2000,119.69
4013050614,AZ,2000,102.72
4013050619,AZ,2000,157.88
4013060904,AZ,2000,100.00
4013061010,AZ,2000,246.80
4013061011,AZ,2000,123.50
4013061014,AZ,2000,100.00
4013061015,AZ,2000,130.16
4013061018,AZ,2000,125.15
4013061020,AZ,2000,100.00
4013061027,AZ,2000,100.00
4013061029,AZ,2000,105.32
4013061045,AZ,2000,163.33
4013061048,AZ,2000,120.86
4013061049,AZ,2000,116.48
4013071503,AZ,2000,127.50
4013071504,AZ,2000,144.15
4013071505,AZ,2000,146.75
4013071506,AZ,2000,135.14
4013071509,AZ,2000,148.55
4013071510,AZ,2000,131.04
4013071512,AZ,2000,128.06
4013071513,AZ,2000,153.68
4013071514,AZ,2000,134.60
4013071515,AZ,2000,137.63
4013071517,AZ,2000,129.23
4013071600,AZ,2000,171.21
4013071702,AZ,2000,144.29
4013071801,AZ,2000,139.06
4013071802,AZ,2000,142.55
4013071903,AZ,2000,144.20
4013071906,AZ,2000,126.40
4013071909,AZ,2000,123.90
4013071910,AZ,2000,131.45
4013071911,AZ,2000,134.06
4013071913,AZ,2000,110.54
4013071914,AZ,2000,120.99
4013071915,AZ,2000,132.33
4013082002,AZ,2000,124.00
4013082007,AZ,2000,116.88
4013082008,AZ,2000,114.58
4013082009,AZ,2000,106.41
4013082010,AZ,2000,121.53
4013082012,AZ,2000,95.11
4013082018,AZ,2000,119.10
4013082019,AZ,2000,121.38
4013082020,AZ,2000,124.13
4013082021,AZ,2000,116.23
4013082023,AZ,2000,105.50
4013082028,AZ,2000,123.26
4013083000,AZ,2000,152.99
4013092305,AZ,2000,132.99
4013092306,AZ,2000,257.71
4013092307,AZ,2000,242.63
4013092308,AZ,2000,139.81
4013092309,AZ,2000,138.73
4013092401,AZ,2000,126.94
4013092402,AZ,2000,131.04
4013092500,AZ,2000,112.51
4013092709,AZ,2000,120.65
4013092710,AZ,2000,135.32
4013092711,AZ,2000,111.27
4013092712,AZ,2000,120.99
4013092713,AZ,2000,145.77
4013092715,AZ,2000,127.32
